17.668760776519775,win,easy
1.415095329284668,lose,easy
51.93196511268616,win,medium
3.946000337600708,lose,medium
0.9800703525543213,lose,easy
320.21491214277218479,win,hard
0.6660678386688232,lose,easy
0.9779059886932373,lose,medium
0.8156752586364746,lose,hard
0.7040205001831055,lose,easy
15.425224781036377,win,easy
33.38999891281128,lose,easy
51.89506936073303,lose,easy
15.913028240203857,win,easy
1.1059019565582275,lose,easy
0.7600042819976807,lose,easy
4.249962329864502,lose,easy
22.31173610687256,win,easy
25.21558666229248,win,easy
1.175685167312622,lose,easy
0.811992883682251,lose,easy
0.762103796005249,lose,medium
0.7313523292541504,lose,hard
6.063283681869507,lose,easy
21.366970539093018,win,easy
1.6740195751190186,lose,easy
